,corrected_grams,note,needs,qty_source,recipe_name,meal_type,serves,section,ingredient_line,parsed_name,computed_grams,how,FULL_RECIPE_for_context,why_flagged
0,,,★,unresolved,GF Easy Pan Dumplings (No Wrappers),dinner,4,Soup (optional),Miso soup or broth of choice,Miso soup or broth of choice,,"no amount, generic item","[Filling] 225g (½ lb) ground beef · [Filling] 1 large egg · [Filling] 2 stalks green onion, finely chopped · [Filling] 1 tsp rice vinegar (or dry sherry) · [Filling] 1 tsp GF soy sauce · [Filling] 1 tsp GF oyster sauce · [Filling] ½ tsp white pepper · [Filling] ½ tsp salt · [Coating] Glutinous rice flour (regular rice flour will not work) · [Coating] Cold water, for dipping · [Soup (optional)] Miso soup or broth of choice · [Soup (optional)] Green onions, to garnish",unresolved (no value)
1,,,,,,,,,,,,,,
0,40,1/4 cup,?,estimated,GF Easy Pan Dumplings (No Wrappers),dinner,4,Coating,Glutinous rice flour (regular rice flour will not work),Glutinous rice flour (regular rice flour will not work),180,bare → 180 g typical (rice),"[Filling] 225g (½ lb) ground beef · [Filling] 1 large egg · [Filling] 2 stalks green onion, finely chopped · [Filling] 1 tsp rice vinegar (or dry sherry) · [Filling] 1 tsp GF soy sauce · [Filling] 1 tsp GF oyster sauce · [Filling] ½ tsp white pepper · [Filling] ½ tsp salt · [Coating] Glutinous rice flour (regular rice flour will not work) · [Coating] Cold water, for dipping · [Soup (optional)] Miso soup or broth of choice · [Soup (optional)] Green onions, to garnish",large (~180g) main/base
1,,,,,,,,,,,,,,
0,20,2 tbsp,?,estimated,GF Easy Pan Dumplings (Pan-Fried),dinner,4,Filling,Potato starch (for shaping and binding),Potato starch (for shaping and binding),170,bare → 1 × 170 g (potato),"[Filling] 450g ground meat (beef, chicken, pork, or a mix) · [Filling] ½ cup green onions, finely sliced · [Filling] 2 tbsp coconut aminos · [Filling] 2 tsp sesame oil · [Filling] 1 tsp garlic powder · [Filling] 1 tsp ginger powder · [Filling] ⅓ cup broth of choice · [Filling] ½ tsp chilli flakes · [Filling] Black pepper, to taste · [Filling] Potato starch (for shaping and binding) · [Toppings] Green onions, sliced · [Toppings] Chilli oil · [Toppings] Sesame seeds",large (~170g) main/base
1,,,,,,,,,,,,,,
0,350,2 cups,?,estimated,Glowing Skin Soup,dinner,4,Main,1 pint cherry tomatoes,pint cherry tomatoes,300,1.0 × 300 g (pint),"[Main] 2 tbsp olive oil · [Main] 1 small yellow onion · [Main] 2 red bell peppers, chopped · [Main] 1 tsp dried basil · [Main] 1 tsp thyme · [Main] 1 tsp oregano · [Main] 1 tsp garlic powder · [Main] 2 tsp salt · [Main] 1/4 tsp pepper · [Main] 1 sweet potato, cubed · [Main] 1 pint cherry tomatoes · [Main] 32 oz veggie broth · [Main] 1/2 cup coconut cream · [Main] Good crusty bread to serve",large (~300g) main/base
1,,,,,,,,,,,,,,
0,250,,?,estimated,Gochujang Prawn Noodle Soup,dinner,2,Main,2 udon nests,udon nests,200,2.0 × 100 g (nests),"[Main] 200g king prawns · [Main] 3 cloves of garlic · [Main] 1 sprig of spring onion · [Main] 2 udon nests · [Main] Fresh chives, sesame seeds and fried shallots to serve · [Sauce] 1 heaped tbsp gochujang paste · [Sauce] 4-5 sun dried tomatoes · [Sauce] 1 tbsp rice wine vinegar · [Sauce] 1 tbsp sesame oil · [Sauce] 1 tbsp soy sauce · [Sauce] 100ml or so chicken stock",large (~200g) main/base
1,,,,,,,,,,,,,,
0,170,1 breast,?,estimated,Grilled Hot Honey Chicken with Fresh Peach Salsa,dinner,,Chicken,Chicken breasts,Chicken breasts,170,bare → 1 × 170 g (chicken breast),[Chicken] Chicken breasts · [Chicken] Olive oil · [Chicken] Smoked paprika · [Chicken] Cumin · [Chicken] Salt · [Chicken] Black pepper · [Hot Honey Sauce] Honey · [Hot Honey Sauce] Garlic · [Hot Honey Sauce] Red pepper flakes · [Hot Honey Sauce] Smoked paprika · [Hot Honey Sauce] Salt · [Fresh Peach Salsa] Peaches · [Fresh Peach Salsa] Jalapeño · [Fresh Peach Salsa] Red onion · [Fresh Peach Salsa] Cilantro/coriander · [Fresh Peach Salsa] Lime juice,large (~170g) main/base
1,,,,,,,,,,,,,,
0,25,1/4 cup,?,estimated,Grilled Hot Honey Chicken with Fresh Peach Salsa,dinner,,Fresh Peach Salsa,Red onion,Red onion,150,bare → 1 × 150 g (red onion),[Chicken] Chicken breasts · [Chicken] Olive oil · [Chicken] Smoked paprika · [Chicken] Cumin · [Chicken] Salt · [Chicken] Black pepper · [Hot Honey Sauce] Honey · [Hot Honey Sauce] Garlic · [Hot Honey Sauce] Red pepper flakes · [Hot Honey Sauce] Smoked paprika · [Hot Honey Sauce] Salt · [Fresh Peach Salsa] Peaches · [Fresh Peach Salsa] Jalapeño · [Fresh Peach Salsa] Red onion · [Fresh Peach Salsa] Cilantro/coriander · [Fresh Peach Salsa] Lime juice,large (~150g) main/base
1,,,,,,,,,,,,,,
0,250,,?,estimated,Honey Sesame Salmon Bowl,dinner,2,Main,Steamed rice,Steamed rice,180,bare → 180 g typical (rice),"[Main] 2 salmon fillets (cubed) · [Main] 1 tbsp sesame oil · [Main] 1 tbsp soy sauce · [Main] 1 tbsp honey · [Main] 1 tsp paprika · [Main] Steamed rice · [Main] Green onions for garnish · [Main] Sriracha + kewpie mayo (for sauce) · [Main] Optional: cucumber, avocado, edamame",large (~180g) main/base
1,,,,,,,,,,,,,,
0,500,,?,estimated,Mediterranean Chicken & Rice Skillet,dinner,4,To Serve,rice of choice,rice of choice,180,bare → 180 g typical (rice),[Chicken Marinade] 4 bone-in skin-on chicken thighs · [Chicken Marinade] 1 tsp olive oil · [Chicken Marinade] salt and cracked pepper · [Chicken Marinade] 1 big handful fresh basil · [Chicken Marinade] 5 garlic cloves · [Chicken Marinade] juice of 1 lemon · [Chicken Marinade] 2 tbsp tomato paste · [Chicken Marinade] 1 tbsp Dijon mustard · [Salad] ½ finely diced red onion · [Salad] 2–3 Persian cucumbers · [Salad] 1 green pepper · [Salad] 3–4 tbsp chopped parsley · [Salad] 1 oz feta · [Salad] 1 tbsp olive oil · [Salad] juice of ½ lemon · [Salad] 1.5 tsp sumac · [Salad] salt & pepper · [To Serve] rice of choice · [To Serve] thick yogurt · [To Serve] sumac to sprinkle,dish-dependent phrase
1,,,,,,,,,,,,,,
0,40,,?,estimated,Mediterranean Chicken & Rice Skillet,dinner,4,To Serve,thick yogurt,thick yogurt,150,bare → 150 g typical (yogurt),[Chicken Marinade] 4 bone-in skin-on chicken thighs · [Chicken Marinade] 1 tsp olive oil · [Chicken Marinade] salt and cracked pepper · [Chicken Marinade] 1 big handful fresh basil · [Chicken Marinade] 5 garlic cloves · [Chicken Marinade] juice of 1 lemon · [Chicken Marinade] 2 tbsp tomato paste · [Chicken Marinade] 1 tbsp Dijon mustard · [Salad] ½ finely diced red onion · [Salad] 2–3 Persian cucumbers · [Salad] 1 green pepper · [Salad] 3–4 tbsp chopped parsley · [Salad] 1 oz feta · [Salad] 1 tbsp olive oil · [Salad] juice of ½ lemon · [Salad] 1.5 tsp sumac · [Salad] salt & pepper · [To Serve] rice of choice · [To Serve] thick yogurt · [To Serve] sumac to sprinkle,large (~150g) main/base
1,,,,,,,,,,,,,,
0,250,,?,estimated,Middle Eastern Chicken & Rice Bowl,dinner,4,To Serve,rice of choice,rice of choice,180,bare → 180 g typical (rice),"[Chicken Marinade] 2 lbs boneless skinless chicken thighs · [Chicken Marinade] 1½ tbsp olive oil · [Chicken Marinade] 1 tbsp smoked paprika · [Chicken Marinade] 1 tbsp garlic powder · [Chicken Marinade] 1 tbsp dried thyme · [Chicken Marinade] ½ tbsp red pepper flakes · [Chicken Marinade] ½ tsp cumin · [Chicken Marinade] ¼ tsp cinnamon · [Chicken Marinade] 2 tbsp plain yogurt · [Chicken Marinade] 5 tbsp lemon juice · [Chicken Marinade] salt and pepper · [Sumac Tomato Salad] 1 red onion, thinly sliced · [Sumac Tomato Salad] 10 cherry tomatoes, quartered · [Sumac Tomato Salad] 2 tbsp parsley · [Sumac Tomato Salad] 2 tbsp sumac · [Sumac Tomato Salad] 5 tbsp lemon juice · [Sumac Tomato Salad] salt and pepper · [White Sauce] ¼ cup plain yogurt · [White Sauce] 3 tbsp mayo · [White Sauce] 3–4 tbsp pickle juice · [White Sauce] 2 tbsp dill · [White Sauce] salt and pepper · [To Serve] rice of choice · [To Serve] cucumbers (optional) · [To Serve] feta (optional)",dish-dependent phrase
1,,,,,,,,,,,,,,
0,,irrelevant,?,estimated,Miso Peanut Ramen Bowl,dinner,4,Toppings,Finely sliced cucumber,Finely sliced cucumber,300,bare → 1 × 300 g (cucumber),"[Crispy Tofu] 1 block extra-firm tofu, pressed and grated on a box grater · [Crispy Tofu] 1 tbsp olive oil · [Crispy Tofu] 60ml (¼ cup) teriyaki sauce · [Crispy Tofu] 1 garlic clove, grated · [Miso Peanut Broth] 1 tbsp red curry paste · [Miso Peanut Broth] 1 tbsp white miso paste · [Miso Peanut Broth] 1–2 tbsp peanut butter · [Miso Peanut Broth] 2 tbsp reduced-sodium soy sauce · [Miso Peanut Broth] 1 tbsp brown sugar · [Miso Peanut Broth] 360ml (1½ cups) water + 1½ tsp bouillon (or 360ml stock) · [Miso Peanut Broth] 1 tin (400ml) full-fat coconut milk · [Miso Peanut Broth] 170g (6oz) dried ramen noodles (2 packets — use GF rice noodles) · [Toppings] Finely sliced cucumber · [Toppings] Fresh coriander and/or spring onion · [Toppings] Chilli crisp",large (~300g) main/base
1,,,,,,,,,,,,,,
0,,,★,unresolved,Peanut Butter Chicken Katsu Noodles,dinner,3,To Serve,Side salad,Side salad,,"no amount, generic item","[Peanut Katsu Sauce] 1 carrot (~100g), cut into small pieces · [Peanut Katsu Sauce] 2 onions, cut into small pieces · [Peanut Katsu Sauce] 5 garlic cloves · [Peanut Katsu Sauce] 3 inch piece fresh ginger · [Peanut Katsu Sauce] 1 heaped tsp curry powder · [Peanut Katsu Sauce] 1 tbsp soy sauce (check GF) · [Peanut Katsu Sauce] ½ tsp turmeric · [Peanut Katsu Sauce] 2 tbsp smooth peanut butter · [Peanut Katsu Sauce] 500ml vegetable stock · [To Serve] Rice of choice · [To Serve] Chicken breast or thighs, cooked · [To Serve] Side salad",unresolved (no value)
1,,,,,,,,,,,,,,
0,375,1/2 cup per serves,?,estimated,Peanut Butter Chicken Katsu Noodles,dinner,3,To Serve,Rice of choice,Rice of choice,180,bare → 180 g typical (rice),"[Peanut Katsu Sauce] 1 carrot (~100g), cut into small pieces · [Peanut Katsu Sauce] 2 onions, cut into small pieces · [Peanut Katsu Sauce] 5 garlic cloves · [Peanut Katsu Sauce] 3 inch piece fresh ginger · [Peanut Katsu Sauce] 1 heaped tsp curry powder · [Peanut Katsu Sauce] 1 tbsp soy sauce (check GF) · [Peanut Katsu Sauce] ½ tsp turmeric · [Peanut Katsu Sauce] 2 tbsp smooth peanut butter · [Peanut Katsu Sauce] 500ml vegetable stock · [To Serve] Rice of choice · [To Serve] Chicken breast or thighs, cooked · [To Serve] Side salad",dish-dependent phrase
1,,,,,,,,,,,,,,
0,510,,?,estimated,Peanut Butter Chicken Katsu Noodles,dinner,3,To Serve,"Chicken breast or thighs, cooked",Chicken breast or thighs,170,bare → 1 × 170 g (chicken breast),"[Peanut Katsu Sauce] 1 carrot (~100g), cut into small pieces · [Peanut Katsu Sauce] 2 onions, cut into small pieces · [Peanut Katsu Sauce] 5 garlic cloves · [Peanut Katsu Sauce] 3 inch piece fresh ginger · [Peanut Katsu Sauce] 1 heaped tsp curry powder · [Peanut Katsu Sauce] 1 tbsp soy sauce (check GF) · [Peanut Katsu Sauce] ½ tsp turmeric · [Peanut Katsu Sauce] 2 tbsp smooth peanut butter · [Peanut Katsu Sauce] 500ml vegetable stock · [To Serve] Rice of choice · [To Serve] Chicken breast or thighs, cooked · [To Serve] Side salad",large (~170g) main/base
1,,,,,,,,,,,,,,
0,800,,?,estimated,Roasted Butternut Squash and Carrot Soup,dinner,4,Main,"1 butternut squash, peeled, seeds removed, chopped",butternut squash,800,1.0 × 800 g whole (butternut squash),"[Main] 1 butternut squash, peeled, seeds removed, chopped · [Main] 3 carrots, peeled and chopped · [Main] 1 onion, diced · [Main] 3 garlic cloves, minced or grated · [Main] 1 tbsp fresh ginger, minced or grated · [Main] 1 tsp curry powder · [Main] ½ tsp cumin · [Main] ½ tsp coriander · [Main] ½ tsp turmeric · [Main] ½ can coconut milk · [Main] 1000ml veg stock · [Main] 2-3 tbsp olive oil · [Main] Salt and pepper to taste",large (~800g) main/base
1,,,,,,,,,,,,,,
0,400,,?,estimated,Salmon Crispy Rice Paper Bites,dinner,3,Main,Cucumber,Cucumber,300,bare → 1 × 300 g (cucumber),"[Main] 2 salmon fillets, cut into cubes · [Main] 6 rice paper sheets · [Main] 2 tbsp soy sauce or coconut aminos · [Main] 1 tbsp honey · [Main] 1 tbsp lime juice · [Main] 1/4 tsp garlic powder · [Main] Cucumber · [Main] Carrot · [Main] Sesame seeds · [Main] Green onions",large (~300g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,"Sticky Chicken, Gochujang & Coconut Broth on Sticky Rice",dinner,2,Garnish,crispy onions,crispy onions,150,bare → 1 × 150 g (onion),"[Broth] 1 red onion · [Broth] 2 cloves garlic · [Broth] 20g ginger · [Broth] 2 tbsp gochujang · [Broth] 1.5 tbsp honey · [Broth] 500ml stock · [Broth] 1 tin coconut milk · [Broth] 2 tsp fish sauce · [Chicken] 2 chicken breasts · [Chicken] 2 tbsp soy sauce · [Chicken] 2 tbsp honey · [Chicken] 1 tsp chilli crunch oil · [Garnish] bok choy, sliced lengthways · [Garnish] spring onion, finely sliced · [Garnish] crispy onions · [Garnish] chilli oil · [Garnish] lime · [Garnish] sesame seeds · [Garnish] sticky rice (to serve)",large (~150g) main/base
1,,,,,,,,,,,,,,
0,350,,?,estimated,Sticky Miso Chicken Bowl with Tahini Broccoli & Pickled Red Onion,dinner,2,Tahini Broccoli,"1 head of broccoli, cut into florets",head of broccoli,350,1.0 × 350 g (head),"[Chicken] 2 chicken breasts · [Chicken] 1 tbsp miso paste · [Chicken] 1 tbsp soy sauce · [Chicken] 1 tsp honey · [Chicken] 1 tsp toasted sesame oil · [Chicken] juice of ½ lime · [Chicken] 1 tsp chilli paste · [Chicken] 1 garlic clove, grated · [Chicken] 1 tsp ginger paste · [Tahini Broccoli] 1 head of broccoli, cut into florets · [Tahini Broccoli] 1 tbsp tahini · [Tahini Broccoli] 1 tbsp soy sauce · [Tahini Broccoli] 1 tsp ginger paste · [Tahini Broccoli] 1 tsp honey · [Pickled Onion] 1 red onion, thinly sliced · [Pickled Onion] 50ml white wine vinegar · [Pickled Onion] 30ml water · [Pickled Onion] ½ tsp sugar · [To Serve] 250g precooked jasmine or sushi rice (125g per portion) · [To Serve] spring onion & sesame seeds for garnish",large (~350g) main/base
1,,,,,,,,,,,,,,
0,375,1/2 cup per serve,?,estimated,Thai Style Chicken Satay,dinner,3,For Serving,sticky rice,sticky rice,180,bare → 180 g typical (rice),"[Chicken] 600g skinless boneless chicken thighs, cut into bite-sized pieces · [Chicken] 2 tsp Thai red curry paste · [Chicken] 1 tsp curry powder · [Chicken] a drizzle of oil · [Chicken] salt · [Satay Sauce] 2 tbsp peanut butter · [Satay Sauce] 1 tbsp Thai red curry paste · [Satay Sauce] 1 tbsp soy sauce · [Satay Sauce] 1 tbsp maple syrup · [Satay Sauce] 200ml coconut milk · [Satay Sauce] 1 tsp fish sauce (optional) · [Satay Sauce] juice of ½ lime · [For Serving] sticky rice · [For Serving] quick pickled ribbons of cucumber and carrot (rice vinegar, maple syrup, salt) · [For Serving] spring onion · [For Serving] red chilli",large (~180g) main/base
1,,,,,,,,,,,,,,
0,180,1/4 per serve,?,estimated,Turkey Taco Scramble,dinner,4,To Serve,Avocado,Avocado,150,bare → 1 × 150 g (avocado),"[Eggs] 8 large eggs, beaten · [Eggs] ¼ tsp adobo seasoning salt · [Eggs] ½ cup reduced fat Mexican blend shredded cheese (omit or sub DF cheese to keep DF) · [Turkey Taco Meat] 450g (1 lb) 99% lean ground turkey · [Turkey Taco Meat] 2 tbsp taco seasoning (check GF) · [Turkey Taco Meat] ½ small onion, minced · [Turkey Taco Meat] 2 tbsp bell pepper, minced · [Turkey Taco Meat] 115g (4oz) tin tomato sauce · [Turkey Taco Meat] ¼ cup water · [Potatoes] 450g sweet potato, quartered · [Potatoes] 4 tsp olive oil · [Potatoes] ¾ tsp salt · [Potatoes] ½ tsp garlic powder · [Potatoes] Fresh black pepper · [Homemade Taco Seasoning] 1 tsp garlic powder · [Homemade Taco Seasoning] 1 tsp cumin · [Homemade Taco Seasoning] 1 tsp kosher salt · [Homemade Taco Seasoning] 1 tsp chilli powder · [Homemade Taco Seasoning] 1 tsp paprika · [Homemade Taco Seasoning] ½ tsp oregano · [To Serve] ¼ cup chopped scallions or coriander · [To Serve] Salsa · [To Serve] Avocado · [To Serve] Yoghurt / sour cream · [To Serve] Pickled onions · [To Serve] Pickled jalapeno",large (~150g) main/base
1,,,,,,,,,,,,,,
0,160,40g per serve,?,estimated,Turkey Taco Scramble,dinner,4,To Serve,Yoghurt / sour cream,Yoghurt / sour cream,150,bare → 150 g typical (yoghurt),"[Eggs] 8 large eggs, beaten · [Eggs] ¼ tsp adobo seasoning salt · [Eggs] ½ cup reduced fat Mexican blend shredded cheese (omit or sub DF cheese to keep DF) · [Turkey Taco Meat] 450g (1 lb) 99% lean ground turkey · [Turkey Taco Meat] 2 tbsp taco seasoning (check GF) · [Turkey Taco Meat] ½ small onion, minced · [Turkey Taco Meat] 2 tbsp bell pepper, minced · [Turkey Taco Meat] 115g (4oz) tin tomato sauce · [Turkey Taco Meat] ¼ cup water · [Potatoes] 450g sweet potato, quartered · [Potatoes] 4 tsp olive oil · [Potatoes] ¾ tsp salt · [Potatoes] ½ tsp garlic powder · [Potatoes] Fresh black pepper · [Homemade Taco Seasoning] 1 tsp garlic powder · [Homemade Taco Seasoning] 1 tsp cumin · [Homemade Taco Seasoning] 1 tsp kosher salt · [Homemade Taco Seasoning] 1 tsp chilli powder · [Homemade Taco Seasoning] 1 tsp paprika · [Homemade Taco Seasoning] ½ tsp oregano · [To Serve] ¼ cup chopped scallions or coriander · [To Serve] Salsa · [To Serve] Avocado · [To Serve] Yoghurt / sour cream · [To Serve] Pickled onions · [To Serve] Pickled jalapeno",large (~150g) main/base
1,,,,,,,,,,,,,,
0,,N/A,?,estimated,Turkey Taco Scramble,dinner,4,To Serve,Pickled onions,Pickled onions,150,bare → 1 × 150 g (onion),"[Eggs] 8 large eggs, beaten · [Eggs] ¼ tsp adobo seasoning salt · [Eggs] ½ cup reduced fat Mexican blend shredded cheese (omit or sub DF cheese to keep DF) · [Turkey Taco Meat] 450g (1 lb) 99% lean ground turkey · [Turkey Taco Meat] 2 tbsp taco seasoning (check GF) · [Turkey Taco Meat] ½ small onion, minced · [Turkey Taco Meat] 2 tbsp bell pepper, minced · [Turkey Taco Meat] 115g (4oz) tin tomato sauce · [Turkey Taco Meat] ¼ cup water · [Potatoes] 450g sweet potato, quartered · [Potatoes] 4 tsp olive oil · [Potatoes] ¾ tsp salt · [Potatoes] ½ tsp garlic powder · [Potatoes] Fresh black pepper · [Homemade Taco Seasoning] 1 tsp garlic powder · [Homemade Taco Seasoning] 1 tsp cumin · [Homemade Taco Seasoning] 1 tsp kosher salt · [Homemade Taco Seasoning] 1 tsp chilli powder · [Homemade Taco Seasoning] 1 tsp paprika · [Homemade Taco Seasoning] ½ tsp oregano · [To Serve] ¼ cup chopped scallions or coriander · [To Serve] Salsa · [To Serve] Avocado · [To Serve] Yoghurt / sour cream · [To Serve] Pickled onions · [To Serve] Pickled jalapeno",large (~150g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Tuscan-Style Chicken Meatballs & Baby Mushrooms,dinner,4,,2 punnets baby mushrooms,punnets baby mushrooms,400,2.0 × 200 g (punnets),500g chicken mince · 1 onion (or 2 shallots) · 10–12 sundried tomatoes in oil · 2 punnets baby mushrooms · 1 tsp dried parsley · 1 tsp sweet paprika · 1 slice white bread (blitzed to breadcrumbs) · 2 garlic cloves · 0.5 tsp sugar · 1 tin chopped tomatoes · 250ml cream (oat cream works) · handful fresh parsley · salt & pepper,large (~400g) main/base
1,,,,,,,,,,,,,,
0,40,20g per serve,?,estimated,Yoghurt Harissa Chicken with Smokey Rice,dinner,2,To Finish,yoghurt,yoghurt,150,bare → 150 g typical (yoghurt),"[Yoghurt Harissa Chicken] 2 chicken breasts · [Yoghurt Harissa Chicken] 100g full fat Greek yoghurt · [Yoghurt Harissa Chicken] 1 tbsp harissa paste · [Yoghurt Harissa Chicken] 1 large garlic clove, minced · [Yoghurt Harissa Chicken] juice of 1 lemon · [Yoghurt Harissa Chicken] 1 tsp salt · [Yoghurt Harissa Chicken] 1/2 tsp black pepper · [Yoghurt Harissa Chicken] 2 tsp honey · [Smokey Rice] 250g pack precooked brown rice · [Smokey Rice] 1 red onion, finely chopped · [Smokey Rice] 1 red pepper, sliced · [Smokey Rice] 1 yellow pepper, sliced · [Smokey Rice] 2 garlic cloves, minced · [Smokey Rice] 1 tbsp harissa paste · [Smokey Rice] 1 tsp smoked paprika · [Smokey Rice] 1 tbsp tomato puree · [Smokey Rice] large handful cherry tomatoes, halved · [To Finish] 50g feta cheese, crumbled · [To Finish] fresh parsley, chopped · [To Finish] pomegranate seeds · [To Finish] yoghurt",large (~150g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Zesty + Spicy Chicken Fusion Bowl,dinner,4,Slaw,"1/2 small purple cabbage, shredded",purple cabbage,315,0.5 × 900 g whole (cabbage),"[Chicken Marinade] 2 lb chicken thighs · [Chicken Marinade] 1 tbsp avocado or olive oil · [Chicken Marinade] 2 tbsp soy sauce · [Chicken Marinade] 2 tbsp rice vinegar · [Chicken Marinade] 2 generous pinches salt & pepper · [Chicken Marinade] 1 tbsp five spice · [Chicken Marinade] 1 tbsp garlic powder · [Chicken Marinade] 1 tbsp onion powder · [Chicken Marinade] 1 tbsp chipotle powder · [Chicken Marinade] 1/2 tsp cayenne powder · [Express Pickled Onions] 1 red onion, thinly sliced · [Express Pickled Onions] juice of 2 limes · [Express Pickled Onions] pinch of salt · [Express Pickled Onions] 1 tbsp chile lime seasoning · [Slaw] 1/2 small purple cabbage, shredded · [Slaw] 3 carrots, shredded · [Slaw] 3 Persian cucumbers, thinly sliced · [Slaw] large handful fresh cilantro · [Slaw] 2 scallions, diced · [Slaw Sauce] 5 tbsp mayo · [Slaw Sauce] 1.5 tbsp sriracha · [Slaw Sauce] 1 tbsp soy sauce · [Slaw Sauce] 1 tbsp rice vinegar · [Slaw Sauce] 1 tsp honey or powdered monkfruit · [Slaw Sauce] 1 tsp minced garlic · [Slaw Sauce] juice of 1 lime · [To Serve] Kaizen rice (or regular rice, quinoa, or cauli rice) · [To Serve] fresh cilantro · [To Serve] sesame seeds · [To Serve] avocado",large (~315g) main/base
1,,,,,,,,,,,,,,
0,500,1/2 cup per serve,?,estimated,Zesty + Spicy Chicken Fusion Bowl,dinner,4,To Serve,"Kaizen rice (or regular rice, quinoa, or cauli rice)",Kaizen rice (or regular rice,180,bare → 180 g typical (rice),"[Chicken Marinade] 2 lb chicken thighs · [Chicken Marinade] 1 tbsp avocado or olive oil · [Chicken Marinade] 2 tbsp soy sauce · [Chicken Marinade] 2 tbsp rice vinegar · [Chicken Marinade] 2 generous pinches salt & pepper · [Chicken Marinade] 1 tbsp five spice · [Chicken Marinade] 1 tbsp garlic powder · [Chicken Marinade] 1 tbsp onion powder · [Chicken Marinade] 1 tbsp chipotle powder · [Chicken Marinade] 1/2 tsp cayenne powder · [Express Pickled Onions] 1 red onion, thinly sliced · [Express Pickled Onions] juice of 2 limes · [Express Pickled Onions] pinch of salt · [Express Pickled Onions] 1 tbsp chile lime seasoning · [Slaw] 1/2 small purple cabbage, shredded · [Slaw] 3 carrots, shredded · [Slaw] 3 Persian cucumbers, thinly sliced · [Slaw] large handful fresh cilantro · [Slaw] 2 scallions, diced · [Slaw Sauce] 5 tbsp mayo · [Slaw Sauce] 1.5 tbsp sriracha · [Slaw Sauce] 1 tbsp soy sauce · [Slaw Sauce] 1 tbsp rice vinegar · [Slaw Sauce] 1 tsp honey or powdered monkfruit · [Slaw Sauce] 1 tsp minced garlic · [Slaw Sauce] juice of 1 lime · [To Serve] Kaizen rice (or regular rice, quinoa, or cauli rice) · [To Serve] fresh cilantro · [To Serve] sesame seeds · [To Serve] avocado",large (~180g) main/base
1,,,,,,,,,,,,,,
0,180,1/4 avo per serve,?,estimated,Zesty + Spicy Chicken Fusion Bowl,dinner,4,To Serve,avocado,avocado,150,bare → 1 × 150 g (avocado),"[Chicken Marinade] 2 lb chicken thighs · [Chicken Marinade] 1 tbsp avocado or olive oil · [Chicken Marinade] 2 tbsp soy sauce · [Chicken Marinade] 2 tbsp rice vinegar · [Chicken Marinade] 2 generous pinches salt & pepper · [Chicken Marinade] 1 tbsp five spice · [Chicken Marinade] 1 tbsp garlic powder · [Chicken Marinade] 1 tbsp onion powder · [Chicken Marinade] 1 tbsp chipotle powder · [Chicken Marinade] 1/2 tsp cayenne powder · [Express Pickled Onions] 1 red onion, thinly sliced · [Express Pickled Onions] juice of 2 limes · [Express Pickled Onions] pinch of salt · [Express Pickled Onions] 1 tbsp chile lime seasoning · [Slaw] 1/2 small purple cabbage, shredded · [Slaw] 3 carrots, shredded · [Slaw] 3 Persian cucumbers, thinly sliced · [Slaw] large handful fresh cilantro · [Slaw] 2 scallions, diced · [Slaw Sauce] 5 tbsp mayo · [Slaw Sauce] 1.5 tbsp sriracha · [Slaw Sauce] 1 tbsp soy sauce · [Slaw Sauce] 1 tbsp rice vinegar · [Slaw Sauce] 1 tsp honey or powdered monkfruit · [Slaw Sauce] 1 tsp minced garlic · [Slaw Sauce] juice of 1 lime · [To Serve] Kaizen rice (or regular rice, quinoa, or cauli rice) · [To Serve] fresh cilantro · [To Serve] sesame seeds · [To Serve] avocado",large (~150g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Asian Chicken Salad with Cucumber and Crispy Seaweed,lunch,1,To Serve,sliced cucumber,sliced cucumber,300,bare → 1 × 300 g (cucumber),[Salad] 1/2 avocado · [Salad] 1 tsp chilli crunch · [Salad] 1 tbsp Greek yoghurt · [Salad] 1 spring onion · [Salad] coriander · [Salad] 150g shredded chicken · [To Serve] seaweed sheets (@itsuofficial) · [To Serve] sliced cucumber · [To Serve] sesame seeds,large (~300g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Buffalo Chicken Wrap,lunch,2,Homemade Coleslaw,1 bag pre-shredded coleslaw mix,bag pre-shredded coleslaw mix,300,1.0 × 300 g (bag),[Homemade Coleslaw] 1 bag pre-shredded coleslaw mix · [Homemade Coleslaw] 1/2 cup plain Greek yoghurt · [Homemade Coleslaw] 1/4 cup extra virgin olive oil · [Homemade Coleslaw] 2 tbsp apple cider vinegar · [Homemade Coleslaw] 1 tbsp maple syrup · [Homemade Coleslaw] 2 tsp salt · [Homemade Coleslaw] 1 tsp black pepper · [Chicken Breast] 2 large chicken breasts (about 200g each) · [Chicken Breast] 1 tbsp extra virgin olive oil · [Chicken Breast] 2 tsp paprika · [Chicken Breast] 2 tsp garlic powder · [Chicken Breast] 2 tsp oregano or Italian seasoning · [Chicken Breast] 1 tsp red chilli flakes · [Chicken Breast] 1 tsp salt · [Chicken Breast] 1 tsp cornflour · [To serve] tortilla · [To serve] 1/2-3/4 cup Frank's Red Hot Sauce · [To serve] pickles · [To serve] spicy mayo (1 tbsp Greek yoghurt + 1 tsp sriracha + 1/2 tsp salt),large (~300g) main/base
1,,,,,,,,,,,,,,
